2025-06-13 03:09:45,819 - INFO - System Monitor: Staring system monitoring...
2025-06-13 03:09:45,828 - INFO - CPU: Usage: 9.5%
2025-06-13 03:09:45,828 - INFO - Memory: Usage: 85.6%
2025-06-13 03:09:45,849 - INFO - System Info: Hostname: LAPTOP-3E6EUQA8
2025-06-13 03:09:45,849 - INFO - System Info: Operating System: Windows 10
2025-06-13 03:09:45,849 - INFO - System Info: Python Version: 3.11.9
2025-06-13 03:09:45,861 - INFO - Network: Bytes Sent: 180469282, Bytes Received: 4371855318
2025-06-13 03:09:45,862 - INFO - Software: Running Software:
2025-06-13 03:11:38,772 - INFO - System Monitor: Starting system monitoring...
2025-06-13 03:11:38,780 - INFO - CPU: Usage: 10.5%
2025-06-13 03:11:38,781 - INFO - Memory: Usage: 90.1%
2025-06-13 03:11:39,408 - INFO - Software: PID: 3920, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:39,416 - INFO - Software: PID: 3952, Name: MemCompression, Username: None
2025-06-13 03:11:39,425 - INFO - Software: PID: 4000, Name: svchost.exe, Username: None
2025-06-13 03:11:39,437 - INFO - Software: PID: 4020, Name: svchost.exe, Username: None
2025-06-13 03:11:39,444 - INFO - Software: PID: 4060, Name: svchost.exe, Username: None
2025-06-13 03:11:39,454 - INFO - Software: PID: 4068, Name: svchost.exe, Username: None
2025-06-13 03:11:39,462 - INFO - Software: PID: 4152, Name: svchost.exe, Username: None
2025-06-13 03:11:39,472 - INFO - Software: PID: 4192, Name: svchost.exe, Username: None
2025-06-13 03:11:39,481 - INFO - Software: PID: 4276, Name: svchost.exe, Username: None
2025-06-13 03:11:39,490 - INFO - Software: PID: 4356, Name: svchost.exe, Username: None
2025-06-13 03:11:39,499 - INFO - Software: PID: 4364, Name: svchost.exe, Username: None
2025-06-13 03:11:39,509 - INFO - Software: PID: 4428, Name: AsusOptimization.exe, Username: None
2025-06-13 03:11:39,519 - INFO - Software: PID: 4436, Name: svchost.exe, Username: None
2025-06-13 03:11:39,529 - INFO - Software: PID: 4560, Name: svchost.exe, Username: None
2025-06-13 03:11:39,540 - INFO - Software: PID: 4636, Name: svchost.exe, Username: None
2025-06-13 03:11:39,549 - INFO - Software: PID: 4688, Name: spoolsv.exe, Username: None
2025-06-13 03:11:39,555 - INFO - Software: PID: 4732, Name: svchost.exe, Username: None
2025-06-13 03:11:39,569 - INFO - Software: PID: 4832, Name: svchost.exe, Username: None
2025-06-13 03:11:39,569 - INFO - Software: PID: 4868, Name: CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.tmp, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:39,579 - INFO - Software: PID: 4944, Name: svchost.exe, Username: None
2025-06-13 03:11:39,590 - INFO - Software: PID: 5164, Name: AsusPTPService.exe, Username: None
2025-06-13 03:11:39,600 - INFO - Software: PID: 5172, Name: ArmouryCrate.Service.exe, Username: None
2025-06-13 03:11:39,610 - INFO - Software: PID: 5180, Name: ArmouryCrateControlInterface.exe, Username: None
2025-06-13 03:11:39,620 - INFO - Software: PID: 5188, Name: AsusMultiAntennaSvc.exe, Username: None
2025-06-13 03:11:39,631 - INFO - Software: PID: 5196, Name: AsusAppService.exe, Username: None
2025-06-13 03:11:39,642 - INFO - Software: PID: 5200, Name: AsusSystemDiagnosis.exe, Username: None
2025-06-13 03:11:39,651 - INFO - Software: PID: 5216, Name: AsusSoftwareManager.exe, Username: None
2025-06-13 03:11:39,666 - INFO - Software: PID: 5224, Name: mDNSResponder.exe, Username: None
2025-06-13 03:11:39,675 - INFO - Software: PID: 5236, Name: svchost.exe, Username: None
2025-06-13 03:11:39,686 - INFO - Software: PID: 5244, Name: warp-svc.exe, Username: None
2025-06-13 03:11:39,694 - INFO - Software: PID: 5252, Name: remoting_host.exe, Username: None
2025-06-13 03:11:39,704 - INFO - Software: PID: 5280, Name: AsusSwitch.exe, Username: None
2025-06-13 03:11:39,712 - INFO - Software: PID: 5296, Name: svchost.exe, Username: None
2025-06-13 03:11:39,720 - INFO - Software: PID: 5308, Name: GameSDK.exe, Username: None
2025-06-13 03:11:39,731 - INFO - Software: PID: 5316, Name: AsusSystemAnalysis.exe, Username: None
2025-06-13 03:11:39,741 - INFO - Software: PID: 5324, Name: DAX3API.exe, Username: None
2025-06-13 03:11:39,752 - INFO - Software: PID: 5352, Name: svchost.exe, Username: None
2025-06-13 03:11:39,760 - INFO - Software: PID: 5360, Name: svchost.exe, Username: None
2025-06-13 03:11:39,770 - INFO - Software: PID: 5408, Name: SecurityHealthService.exe, Username: None
2025-06-13 03:11:39,780 - INFO - Software: PID: 5472, Name: svchost.exe, Username: None
2025-06-13 03:11:39,789 - INFO - Software: PID: 5500, Name: LightingService.exe, Username: None
2025-06-13 03:11:39,798 - INFO - Software: PID: 5652, Name: mfemms.exe, Username: None
2025-06-13 03:11:39,808 - INFO - Software: PID: 5660, Name: MpDefenderCoreService.exe, Username: None
2025-06-13 03:11:39,818 - INFO - Software: PID: 5716, Name: svchost.exe, Username: None
2025-06-13 03:11:39,828 - INFO - Software: PID: 5784, Name: ModuleCoreService.exe, Username: None
2025-06-13 03:11:39,837 - INFO - Software: PID: 5920, Name: PEFService.exe, Username: None
2025-06-13 03:11:39,838 - INFO - Software: PID: 5952, Name: sihost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:39,848 - INFO - Software: PID: 5956, Name: pg_ctl.exe, Username: None
2025-06-13 03:11:39,858 - INFO - Software: PID: 5980, Name: ROGLiveService.exe, Username: None
2025-06-13 03:11:39,868 - INFO - Software: PID: 6000, Name: logi_lamparray_service.exe, Username: None
2025-06-13 03:11:39,877 - INFO - Software: PID: 6060, Name: RtkAudUService64.exe, Username: None
2025-06-13 03:11:39,886 - INFO - Software: PID: 6100, Name: sqlwriter.exe, Username: None
2025-06-13 03:11:39,897 - INFO - Software: PID: 6124, Name: svchost.exe, Username: None
2025-06-13 03:11:39,907 - INFO - Software: PID: 6268, Name: svchost.exe, Username: None
2025-06-13 03:11:39,917 - INFO - Software: PID: 6284, Name: svchost.exe, Username: None
2025-06-13 03:11:39,926 - INFO - Software: PID: 6300, Name: svchost.exe, Username: None
2025-06-13 03:11:39,937 - INFO - Software: PID: 6316, Name: UltraViewer_Service.exe, Username: None
2025-06-13 03:11:39,945 - INFO - Software: PID: 6440, Name: sqlservr.exe, Username: None
2025-06-13 03:11:39,956 - INFO - Software: PID: 6504, Name: sqlservr.exe, Username: None
2025-06-13 03:11:39,966 - INFO - Software: PID: 6580, Name: MsMpEng.exe, Username: None
2025-06-13 03:11:39,974 - INFO - Software: PID: 6632, Name: sqlceip.exe, Username: None
2025-06-13 03:11:39,985 - INFO - Software: PID: 6752, Name: sqlceip.exe, Username: None
2025-06-13 03:11:39,994 - INFO - Software: PID: 6760, Name: WmiPrvSE.exe, Username: None
2025-06-13 03:11:40,004 - INFO - Software: PID: 6896, Name: AggregatorHost.exe, Username: None
2025-06-13 03:11:40,005 - INFO - Software: PID: 6972, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,015 - INFO - Software: PID: 7000, Name: svchost.exe, Username: None
2025-06-13 03:11:40,016 - INFO - Software: PID: 7232, Name: McUICnt.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,024 - INFO - Software: PID: 7260, Name: FileSyncHelper.exe, Username: None
2025-06-13 03:11:40,025 - INFO - Software: PID: 7640, Name: remoting_host.exe, Username: None
2025-06-13 03:11:40,027 - INFO - Software: PID: 7732, Name: CrossDeviceResume.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,036 - INFO - Software: PID: 8108, Name: SearchIndexer.exe, Username: None
2025-06-13 03:11:40,048 - INFO - Software: PID: 8140, Name: wlanext.exe, Username: None
2025-06-13 03:11:40,057 - INFO - Software: PID: 8160, Name: WmiPrvSE.exe, Username: None
2025-06-13 03:11:40,058 - INFO - Software: PID: 8216, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,067 - INFO - Software: PID: 8248, Name: postgres.exe, Username: None
2025-06-13 03:11:40,077 - INFO - Software: PID: 8272, Name: conhost.exe, Username: None
2025-06-13 03:11:40,078 - INFO - Software: PID: 8284, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,087 - INFO - Software: PID: 8356, Name: MMSSHOST.exe, Username: None
2025-06-13 03:11:40,089 - INFO - Software: PID: 8436, Name: conhost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,098 - INFO - Software: PID: 8720, Name: mfevtps.exe, Username: None
2025-06-13 03:11:40,112 - INFO - Software: PID: 8884, Name: postgres.exe, Username: None
2025-06-13 03:11:40,124 - INFO - Software: PID: 8892, Name: ProtectedModuleHost.exe, Username: None
2025-06-13 03:11:40,132 - INFO - Software: PID: 8952, Name: postgres.exe, Username: None
2025-06-13 03:11:40,143 - INFO - Software: PID: 8972, Name: postgres.exe, Username: None
2025-06-13 03:11:40,154 - INFO - Software: PID: 9160, Name: postgres.exe, Username: None
2025-06-13 03:11:40,165 - INFO - Software: PID: 9180, Name: postgres.exe, Username: None
2025-06-13 03:11:40,176 - INFO - Software: PID: 9196, Name: postgres.exe, Username: None
2025-06-13 03:11:40,187 - INFO - Software: PID: 9908, Name: conhost.exe, Username: None
2025-06-13 03:11:40,197 - INFO - Software: PID: 9968, Name: ModuleCoreService.exe, Username: None
2025-06-13 03:11:40,198 - INFO - Software: PID: 10116, Name: ShellHost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,209 - INFO - Software: PID: 10480, Name: svchost.exe, Username: None
2025-06-13 03:11:40,210 - INFO - Software: PID: 10512, Name: svchost.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,222 - INFO - Software: PID: 10872, Name: svchost.exe, Username: None
2025-06-13 03:11:40,232 - INFO - Software: PID: 11016, Name: svchost.exe, Username: None
2025-06-13 03:11:40,245 - INFO - Software: PID: 11100, Name: McCSPServiceHost.exe, Username: None
2025-06-13 03:11:40,245 - INFO - Software: PID: 11324, Name: ArmouryCrate.UserSessionHelper.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,247 - INFO - Software: PID: 11464, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,265 - INFO - Software: PID: 11536, Name: svchost.exe, Username: None
2025-06-13 03:11:40,273 - INFO - Software: PID: 11596, Name: svchost.exe, Username: None
2025-06-13 03:11:40,274 - INFO - Software: PID: 11852, Name: msedgewebview2.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
2025-06-13 03:11:40,275 - INFO - Software: PID: 11968, Name: chrome.exe, Username: LAPTOP-3E6EUQA8\Kim Nghi
